,C_CID,C_RES,C_Scope,C_URI,R_AC,R_Scope,R_Token,R_data,R_i_state,grant,i_state,CR_AC,CR_CID,CR_GT,CR_Token,CR_URI,Token,UR_AC,UR_CID,UR_GT,UR_URI,data,timeOut,U_AC,U_CID,U_RES,U_Scope,U_URI,U_i_state,label
25,4580,2,1,12069,41557,1,26464,13113,19604,2,19604,41557,4580,2,26464,12069,26464,41557,4580,2,12069,13113,8,41557,4580,2,1,12069,19604,0
26,25489,1,1,46320,10332,1,30426,24860,39302,2,39302,10332,25489,2,30426,46320,30426,10332,25489,2,46320,24860,10,10332,25489,1,1,46320,39302,0
27,23945,1,1,13965,22269,1,25708,26465,28408,2,28408,22269,23945,2,25708,13965,25708,22269,23945,2,13965,26465,10,22269,23945,1,1,13965,28408,0
28,37696,2,1,42816,9175,1,13540,27874,38870,1,38870,9175,37696,1,13540,42816,13540,9175,37696,1,42816,27874,8,9175,37696,2,1,42816,38870,0
29,21160,1,2,20194,6263,2,10043,45542,1339,1,1339,6263,21160,1,10043,20194,10043,6263,21160,1,20194,45542,6,6263,21160,1,2,20194,1339,0
30,30239,2,1,20896,16334,1,34642,12100,5331,2,5331,16334,30239,2,34642,20896,34642,16334,30239,2,20896,12100,6,16334,30239,2,1,20896,5331,0
31,29691,2,2,17282,40728,2,24112,34292,27947,1,27947,40728,29691,1,24112,17282,24112,40728,29691,1,17282,34292,8,40728,29691,2,2,17282,27947,0
32,43174,1,2,36812,34139,2,2327,45000,27006,2,27006,34139,43174,2,2327,36812,2327,34139,43174,2,36812,45000,7,34139,43174,1,2,36812,27006,0
33,31389,2,1,8845,21785,1,49515,26315,39159,2,39159,21785,31389,2,49515,8845,49515,21785,31389,2,8845,26315,8,21785,31389,2,1,8845,39159,0
34,23567,2,2,36297,30769,2,6693,48629,43508,1,43508,30769,23567,1,6693,36297,6693,30769,23567,1,36297,48629,8,30769,23567,2,2,36297,43508,0
35,24085,1,1,5369,25901,1,5241,2449,42659,2,42659,25901,24085,2,5241,5369,5241,25901,24085,2,5369,2449,7,25901,24085,1,1,5369,42659,0
36,24281,1,2,7330,41910,2,29924,41102,36964,1,36964,41910,24281,1,29924,7330,29924,41910,24281,1,7330,41102,10,41910,24281,1,2,7330,36964,0
37,34376,2,1,14752,13279,1,12146,19927,22184,2,22184,13279,34376,2,12146,14752,12146,13279,34376,2,14752,19927,3,13279,34376,2,1,14752,22184,0
38,10591,2,1,17040,7076,1,36819,41580,30435,2,30435,7076,10591,2,36819,17040,36819,7076,10591,2,17040,41580,8,7076,10591,2,1,17040,30435,0
39,41879,2,1,49428,35838,1,18075,20227,14236,1,14236,35838,41879,1,18075,49428,18075,35838,41879,1,49428,20227,7,35838,41879,2,1,49428,14236,0
40,41784,1,2,1971,44269,2,44046,15396,10284,1,10284,44269,41784,1,44046,1971,44046,44269,41784,1,1971,15396,3,44269,41784,1,2,1971,10284,0
41,39918,1,1,43611,21661,1,22234,34574,28592,2,28592,21661,39918,2,22234,43611,22234,21661,39918,2,43611,34574,4,21661,39918,1,1,43611,28592,0
42,41493,2,1,46617,43207,1,17199,49477,18819,2,18819,43207,41493,2,17199,46617,17199,43207,41493,2,46617,49477,10,43207,41493,2,1,46617,18819,0
43,19405,2,2,5624,49631,2,9592,47424,29788,1,29788,49631,19405,1,9592,5624,9592,49631,19405,1,5624,47424,8,49631,19405,2,2,5624,29788,0
44,47983,2,2,40654,34870,2,14074,705,8446,2,8446,34870,47983,2,14074,40654,14074,34870,47983,2,40654,705,9,34870,47983,2,2,40654,8446,0
45,49805,1,2,35793,6376,2,145,25525,18187,1,18187,6376,49805,1,145,35793,145,6376,49805,1,35793,25525,10,6376,49805,1,2,35793,18187,0
46,45677,1,2,35917,17976,2,14193,49285,12419,2,12419,17976,45677,2,14193,35917,14193,17976,45677,2,35917,49285,8,17976,45677,1,2,35917,12419,0
47,1158,2,2,4195,15898,2,29025,20222,23708,1,23708,15898,1158,1,29025,4195,29025,15898,1158,1,4195,20222,7,15898,1158,2,2,4195,23708,0
48,28872,2,2,30529,2170,2,1732,27129,19345,2,19345,2170,28872,2,1732,30529,1732,2170,28872,2,30529,27129,4,2170,28872,2,2,30529,19345,0
49,49506,2,1,5136,12182,1,15476,25127,25511,1,25511,12182,49506,1,15476,5136,15476,12182,49506,1,5136,25127,5,12182,49506,2,1,5136,25511,0
50,22426,1,2,34032,18417,2,29687,32535,25166,1,25166,18417,22426,1,29687,34032,29687,18417,22426,1,34032,32535,9,18417,22426,1,2,34032,25166,0
51,43407,1,2,41661,36177,2,10900,41082,1823,2,1823,36177,43407,2,10900,41661,10900,36177,43407,2,41661,41082,5,36177,43407,1,2,41661,1823,0
52,40874,2,2,8227,11205,2,7596,8923,22303,1,22303,11205,40874,1,7596,8227,7596,11205,40874,1,8227,8923,5,11205,40874,2,2,8227,22303,0
53,25920,2,1,15024,34440,1,30017,42890,924,2,924,34440,25920,2,30017,15024,30017,34440,25920,2,15024,42890,6,34440,25920,2,1,15024,924,0
54,23776,2,2,17150,22078,2,23799,16622,10338,2,10338,22078,23776,2,23799,17150,23799,22078,23776,2,17150,16622,10,22078,23776,2,2,17150,10338,0
55,25056,2,1,32942,29993,1,40691,28528,9788,2,9788,29993,25056,2,40691,32942,40691,29993,25056,2,32942,28528,6,29993,25056,2,1,32942,9788,0
56,83,1,1,14577,44113,1,28381,24382,18934,2,18934,44113,83,2,28381,14577,28381,44113,83,2,14577,24382,5,44113,83,1,1,14577,18934,0
57,24119,2,1,40054,401,1,30105,40914,33532,2,33532,401,24119,2,30105,40054,30105,401,24119,2,40054,40914,3,401,24119,2,1,40054,33532,0
58,20138,2,1,13318,31405,1,16260,9620,3172,1,3172,31405,20138,1,16260,13318,16260,31405,20138,1,13318,9620,9,31405,20138,2,1,13318,3172,0
59,30176,2,2,20364,29279,2,8303,45733,43806,1,43806,29279,30176,1,8303,20364,8303,29279,30176,1,20364,45733,7,29279,30176,2,2,20364,43806,0
60,6190,1,1,13869,14713,1,28616,20548,28874,2,28874,14713,6190,2,28616,13869,28616,14713,6190,2,13869,20548,4,14713,6190,1,1,13869,28874,0
61,25784,2,2,1829,17628,2,29409,44045,19585,2,19585,17628,25784,2,29409,1829,29409,17628,25784,2,1829,44045,3,17628,25784,2,2,1829,19585,0
62,165,1,2,30564,28904,2,13091,45556,22420,2,22420,28904,165,2,13091,30564,13091,28904,165,2,30564,45556,10,28904,165,1,2,30564,22420,0
63,36712,1,1,12850,2921,1,41414,8968,34379,2,34379,2921,36712,2,41414,12850,41414,2921,36712,2,12850,8968,7,2921,36712,1,1,12850,34379,0
64,28804,2,2,5150,27377,2,11416,46045,23235,1,23235,27377,28804,1,11416,5150,11416,27377,28804,1,5150,46045,8,27377,28804,2,2,5150,23235,0
65,6876,1,2,32403,19175,2,11721,28374,15029,1,15029,19175,6876,1,11721,32403,11721,19175,6876,1,32403,28374,7,19175,6876,1,2,32403,15029,0
66,7360,2,1,11863,42292,1,35633,11572,13601,1,13601,42292,7360,1,35633,11863,35633,42292,7360,1,11863,11572,7,42292,7360,2,1,11863,13601,0
67,25949,1,2,38518,35367,2,22329,21491,48515,1,48515,35367,25949,1,22329,38518,22329,35367,25949,1,38518,21491,8,35367,25949,1,2,38518,48515,0
68,1342,2,2,44587,16244,2,44339,23366,6812,2,6812,16244,1342,2,44339,44587,44339,16244,1342,2,44587,23366,8,16244,1342,2,2,44587,6812,0
69,37560,2,2,38609,44293,2,19436,42777,19138,2,19138,44293,37560,2,19436,38609,19436,44293,37560,2,38609,42777,10,44293,37560,2,2,38609,19138,0
70,46323,2,1,48609,28648,1,49718,21561,36670,2,36670,28648,46323,2,49718,48609,49718,28648,46323,2,48609,21561,3,28648,46323,2,1,48609,36670,0
71,41537,1,1,37410,41087,1,25903,44084,21340,2,21340,41087,41537,2,25903,37410,25903,41087,41537,2,37410,44084,6,41087,41537,1,1,37410,21340,0
72,47658,2,2,45629,43949,2,38079,19996,18405,2,18405,43949,47658,2,38079,45629,38079,43949,47658,2,45629,19996,8,43949,47658,2,2,45629,18405,0
73,38613,2,2,48396,39614,2,34808,12635,5012,2,5012,39614,38613,2,34808,48396,34808,39614,38613,2,48396,12635,7,39614,38613,2,2,48396,5012,0
74,39622,1,2,9039,3951,2,22025,44921,43667,2,43667,3951,39622,2,22025,9039,22025,3951,39622,2,9039,44921,7,3951,39622,1,2,9039,43667,0
75,47265,1,1,39323,27653,1,12861,43756,45876,1,45876,27653,47265,1,12861,39323,12861,27653,47265,1,39323,43756,4,27653,47265,1,1,39323,45876,0
76,4105,1,2,9256,1254,2,22270,47607,25717,1,25717,1254,4105,1,22270,9256,22270,1254,4105,1,9256,47607,6,1254,4105,1,2,9256,25717,0
77,29927,2,1,1239,38605,1,10168,37625,16303,2,16303,38605,29927,2,10168,1239,10168,38605,29927,2,1239,37625,4,38605,29927,2,1,1239,16303,0
78,32275,2,2,29646,20803,2,4440,35125,12943,2,12943,20803,32275,2,4440,29646,4440,20803,32275,2,29646,35125,3,20803,32275,2,2,29646,12943,0
79,45672,2,2,19640,39704,2,35783,15950,4628,1,4628,39704,45672,1,35783,19640,35783,39704,45672,1,19640,15950,6,39704,45672,2,2,19640,4628,0
80,18158,1,2,34425,16234,2,38656,42737,45283,2,45283,16234,18158,2,38656,34425,38656,16234,18158,2,34425,42737,6,16234,18158,1,2,34425,45283,0
81,1177,2,1,11602,18861,1,7947,18435,8481,1,8481,18861,1177,1,7947,11602,7947,18861,1177,1,11602,18435,9,18861,1177,2,1,11602,8481,0
82,45890,2,1,17190,14942,1,11824,48710,2058,2,2058,14942,45890,2,11824,17190,11824,14942,45890,2,17190,48710,3,14942,45890,2,1,17190,2058,0
83,37998,2,2,3164,13718,2,23784,32724,5213,2,5213,13718,37998,2,23784,3164,23784,13718,37998,2,3164,32724,3,13718,37998,2,2,3164,5213,0
84,12913,2,1,34950,8245,1,10449,24512,37161,1,37161,8245,12913,1,10449,34950,10449,8245,12913,1,34950,24512,5,8245,12913,2,1,34950,37161,0
85,8813,1,2,48712,23197,2,26608,37806,43436,1,43436,23197,8813,1,26608,48712,26608,23197,8813,1,48712,37806,8,23197,8813,1,2,48712,43436,0
86,42402,1,1,34695,38835,1,17373,29666,27063,2,27063,38835,42402,2,17373,34695,17373,38835,42402,2,34695,29666,5,38835,42402,1,1,34695,27063,0
87,39461,2,2,3722,18919,2,17198,11446,3262,1,3262,18919,39461,1,17198,3722,17198,18919,39461,1,3722,11446,10,18919,39461,2,2,3722,3262,0
88,25201,1,1,2957,2236,1,27075,35782,45694,2,45694,2236,25201,2,27075,2957,27075,2236,25201,2,2957,35782,7,2236,25201,1,1,2957,45694,0
89,23343,2,2,46170,31653,2,28689,25884,1848,2,1848,31653,23343,2,28689,46170,28689,31653,23343,2,46170,25884,5,31653,23343,2,2,46170,1848,0
90,43057,2,2,11494,45693,2,24136,20476,11264,1,11264,45693,43057,1,24136,11494,24136,45693,43057,1,11494,20476,4,45693,43057,2,2,11494,11264,0
91,32489,2,2,30049,23800,2,47810,31206,13048,2,13048,23800,32489,2,47810,30049,47810,23800,32489,2,30049,31206,10,23800,32489,2,2,30049,13048,0
92,22060,1,2,19638,44764,2,35190,35726,20563,1,20563,44764,22060,1,35190,19638,35190,44764,22060,1,19638,35726,10,44764,22060,1,2,19638,20563,0
93,27352,2,2,534,21458,2,27759,12466,4119,1,4119,21458,27352,1,27759,534,27759,21458,27352,1,534,12466,4,21458,27352,2,2,534,4119,0
94,19536,2,1,37566,39922,1,10982,25271,7079,1,7079,39922,19536,1,10982,37566,10982,39922,19536,1,37566,25271,7,39922,19536,2,1,37566,7079,0
95,15136,1,1,25072,3258,1,29056,31411,24389,1,24389,3258,15136,1,29056,25072,29056,3258,15136,1,25072,31411,3,3258,15136,1,1,25072,24389,0
96,10771,1,2,31441,13447,2,34661,21834,48413,2,48413,13447,10771,2,34661,31441,34661,13447,10771,2,31441,21834,3,13447,10771,1,2,31441,48413,0
97,11991,1,2,3185,28561,2,37644,6190,25332,1,25332,28561,11991,1,37644,3185,37644,28561,11991,1,3185,6190,6,28561,11991,1,2,3185,25332,0
98,4674,2,2,27763,27510,2,668,36515,20013,2,20013,27510,4674,2,668,27763,668,27510,4674,2,27763,36515,10,27510,4674,2,2,27763,20013,0
99,8164,1,2,19673,28183,2,37812,1957,26974,2,26974,28183,8164,2,37812,19673,37812,28183,8164,2,19673,1957,3,28183,8164,1,2,19673,26974,0
100,9619,1,1,34035,40428,1,34097,38744,41637,2,41637,40428,9619,2,34097,34035,34097,40428,9619,2,34035,38744,10,40428,9619,1,1,34035,41637,0
101,49169,2,2,23454,7133,2,10628,27278,34184,2,34184,7133,49169,2,10628,23454,10628,7133,49169,2,23454,27278,5,7133,49169,2,2,23454,34184,0
102,9419,1,2,49331,42598,2,46469,10448,2004,1,2004,42598,9419,1,46469,49331,46469,42598,9419,1,49331,10448,3,42598,9419,1,2,49331,2004,0
103,37710,1,1,44560,16999,1,21312,30976,35052,2,35052,16999,37710,2,21312,44560,21312,16999,37710,2,44560,30976,7,16999,37710,1,1,44560,35052,0
104,24566,2,1,45908,37597,1,15358,3617,34348,2,34348,37597,24566,2,15358,45908,15358,37597,24566,2,45908,3617,4,37597,24566,2,1,45908,34348,0
105,7676,2,1,30606,38905,1,43009,10607,1208,1,1208,38905,7676,1,43009,30606,43009,38905,7676,1,30606,10607,5,38905,7676,2,1,30606,1208,0
106,22067,1,1,30226,8189,1,44651,16988,13360,1,13360,8189,22067,1,44651,30226,44651,8189,22067,1,30226,16988,9,8189,22067,1,1,30226,13360,0
107,22741,2,1,18299,26931,1,2542,46455,35635,1,35635,26931,22741,1,2542,18299,2542,26931,22741,1,18299,46455,7,26931,22741,2,1,18299,35635,0
108,38738,1,2,29220,27327,2,9113,2635,4027,1,4027,27327,38738,1,9113,29220,9113,27327,38738,1,29220,2635,9,27327,38738,1,2,29220,4027,0
109,44562,1,1,21661,34114,1,342,31556,28967,2,28967,34114,44562,2,342,21661,342,34114,44562,2,21661,31556,10,34114,44562,1,1,21661,28967,0
110,40617,2,2,46922,14409,2,12465,48845,44903,2,44903,14409,40617,2,12465,46922,12465,14409,40617,2,46922,48845,5,14409,40617,2,2,46922,44903,0
111,7415,1,2,36636,8304,2,25483,36798,44535,2,44535,8304,7415,2,25483,36636,25483,8304,7415,2,36636,36798,7,8304,7415,1,2,36636,44535,0
112,32849,2,2,19293,20304,2,31141,9527,21037,2,21037,20304,32849,2,31141,19293,31141,20304,32849,2,19293,9527,7,20304,32849,2,2,19293,21037,0
113,40280,2,2,45382,42345,2,34494,47876,4578,1,4578,42345,40280,1,34494,45382,34494,42345,40280,1,45382,47876,5,42345,40280,2,2,45382,4578,0
114,16623,1,1,5859,39489,1,42729,47079,9169,2,9169,39489,16623,2,42729,5859,42729,39489,16623,2,5859,47079,5,39489,16623,1,1,5859,9169,0
115,31348,2,1,30784,46920,1,42118,13293,24057,1,24057,46920,31348,1,42118,30784,42118,46920,31348,1,30784,13293,9,46920,31348,2,1,30784,24057,0
116,9795,2,1,6565,44746,1,13100,47437,21615,1,21615,44746,9795,1,13100,6565,13100,44746,9795,1,6565,47437,10,44746,9795,2,1,6565,21615,0
117,10834,2,2,27288,36615,2,26658,7685,24524,2,24524,36615,10834,2,26658,27288,26658,36615,10834,2,27288,7685,9,36615,10834,2,2,27288,24524,0
118,5618,2,2,5446,27507,2,49118,40641,7005,2,7005,27507,5618,2,49118,5446,49118,27507,5618,2,5446,40641,5,27507,5618,2,2,5446,7005,0
119,41101,1,2,13921,9351,2,44975,10236,18425,2,18425,9351,41101,2,44975,13921,44975,9351,41101,2,13921,10236,6,9351,41101,1,2,13921,18425,0
120,3731,2,2,14686,31613,2,30196,40896,33489,2,33489,31613,3731,2,30196,14686,30196,31613,3731,2,14686,40896,8,31613,3731,2,2,14686,33489,0
121,6561,1,2,44270,33102,2,13602,3394,6771,2,6771,33102,6561,2,13602,44270,13602,33102,6561,2,44270,3394,3,33102,6561,1,2,44270,6771,0
122,45014,2,1,3712,33269,1,3206,39030,11865,1,11865,33269,45014,1,3206,3712,3206,33269,45014,1,3712,39030,3,33269,45014,2,1,3712,11865,0
123,47307,2,2,10934,24661,2,36546,4531,8708,1,8708,24661,47307,1,36546,10934,36546,24661,47307,1,10934,4531,7,24661,47307,2,2,10934,8708,0
124,26795,2,2,35630,39224,2,10656,4088,38332,1,38332,39224,26795,1,10656,35630,10656,39224,26795,1,35630,4088,5,39224,26795,2,2,35630,38332,0
125,20384,2,2,30869,47857,2,36185,34941,33140,1,33140,47857,20384,1,36185,30869,36185,47857,20384,1,30869,34941,7,47857,20384,2,2,30869,33140,0
126,38712,2,2,17430,38376,2,3690,19160,14490,1,14490,38376,38712,1,3690,17430,3690,38376,38712,1,17430,19160,6,38376,38712,2,2,17430,14490,0
127,4163,2,2,24961,9602,2,7789,21724,49865,1,49865,9602,4163,1,7789,24961,7789,9602,4163,1,24961,21724,3,9602,4163,2,2,24961,49865,0
128,19374,2,1,32064,5314,1,3626,30301,13277,1,13277,5314,19374,1,3626,32064,3626,5314,19374,1,32064,30301,4,5314,19374,2,1,32064,13277,0
129,39066,2,1,25151,28033,1,37502,29302,27261,1,27261,28033,39066,1,37502,25151,37502,28033,39066,1,25151,29302,4,28033,39066,2,1,25151,27261,0
130,17420,1,2,609,43299,2,26085,13812,44026,1,44026,43299,17420,1,26085,609,26085,43299,17420,1,609,13812,4,43299,17420,1,2,609,44026,0
131,41179,2,2,28707,29958,2,17880,19819,16927,2,16927,29958,41179,2,17880,28707,17880,29958,41179,2,28707,19819,5,29958,41179,2,2,28707,16927,0
132,34565,1,1,3223,16910,1,38094,15958,28902,2,28902,16910,34565,2,38094,3223,38094,16910,34565,2,3223,15958,8,16910,34565,1,1,3223,28902,0
133,23598,1,1,8795,9375,1,39522,31462,30081,2,30081,9375,23598,2,39522,8795,39522,9375,23598,2,8795,31462,8,9375,23598,1,1,8795,30081,0
134,15329,1,1,33525,44653,1,16309,6462,7106,2,7106,44653,15329,2,16309,33525,16309,44653,15329,2,33525,6462,4,44653,15329,1,1,33525,7106,0
135,276,2,2,44194,577,2,28817,9615,49772,2,49772,577,276,2,28817,44194,28817,577,276,2,44194,9615,9,577,276,2,2,44194,49772,0
136,2230,1,1,1986,3731,1,40057,30113,32396,1,32396,3731,2230,1,40057,1986,40057,3731,2230,1,1986,30113,6,3731,2230,1,1,1986,32396,0
137,32314,1,1,38314,18177,1,37351,17788,37963,2,37963,18177,32314,2,37351,38314,37351,18177,32314,2,38314,17788,3,18177,32314,1,1,38314,37963,0
138,25327,1,2,8741,24245,2,44147,19921,21521,1,21521,24245,25327,1,44147,8741,44147,24245,25327,1,8741,19921,4,24245,25327,1,2,8741,21521,0
139,12516,1,1,15890,38323,1,30164,38087,6870,2,6870,38323,12516,2,30164,15890,30164,38323,12516,2,15890,38087,7,38323,12516,1,1,15890,6870,0
140,38095,1,1,37673,3548,1,32513,18464,20406,1,20406,3548,38095,1,32513,37673,32513,3548,38095,1,37673,18464,6,3548,38095,1,1,37673,20406,0
141,12441,2,2,1677,16190,2,32534,37284,37507,1,37507,16190,12441,1,32534,1677,32534,16190,12441,1,1677,37284,5,16190,12441,2,2,1677,37507,0
142,44166,2,1,37527,4957,1,29743,46630,42712,1,42712,4957,44166,1,29743,37527,29743,4957,44166,1,37527,46630,9,4957,44166,2,1,37527,42712,0
143,26178,2,1,28705,38505,1,22770,7652,19761,2,19761,38505,26178,2,22770,28705,22770,38505,26178,2,28705,7652,5,38505,26178,2,1,28705,19761,0
144,24387,1,2,17993,29950,2,7174,38945,35379,2,35379,29950,24387,2,7174,17993,7174,29950,24387,2,17993,38945,10,29950,24387,1,2,17993,35379,0
145,9973,1,2,42696,15165,2,4159,17678,34873,2,34873,15165,9973,2,4159,42696,4159,15165,9973,2,42696,17678,5,15165,9973,1,2,42696,34873,0
146,15109,1,1,10939,19434,1,37496,46572,44128,2,44128,19434,15109,2,37496,10939,37496,19434,15109,2,10939,46572,10,19434,15109,1,1,10939,44128,0
147,39976,1,2,32324,45941,2,16462,40143,30855,1,30855,45941,39976,1,16462,32324,16462,45941,39976,1,32324,40143,9,45941,39976,1,2,32324,30855,0
148,39569,1,1,24010,35690,1,45876,20797,47861,2,47861,35690,39569,2,45876,24010,45876,35690,39569,2,24010,20797,4,35690,39569,1,1,24010,47861,0
149,47179,2,2,43371,38748,2,39715,10819,19567,2,19567,38748,47179,2,39715,43371,39715,38748,47179,2,43371,10819,6,38748,47179,2,2,43371,19567,0
150,27645,1,1,35375,20905,1,48116,2781,27091,1,27091,20905,27645,1,48116,35375,48116,20905,27645,1,35375,2781,5,20905,27645,1,1,35375,27091,0
151,4727,2,2,1821,12458,2,31457,7319,26128,2,26128,12458,4727,2,31457,1821,31457,12458,4727,2,1821,7319,6,12458,4727,2,2,1821,26128,0
152,33957,2,1,42678,48448,1,215,24776,45853,1,45853,48448,33957,1,215,42678,215,48448,33957,1,42678,24776,4,48448,33957,2,1,42678,45853,0
153,26802,2,1,15196,46455,1,19220,30539,8295,2,8295,46455,26802,2,19220,15196,19220,46455,26802,2,15196,30539,4,46455,26802,2,1,15196,8295,0
154,49342,2,1,22052,5135,1,45661,17488,34036,1,34036,5135,49342,1,45661,22052,45661,5135,49342,1,22052,17488,8,5135,49342,2,1,22052,34036,0
155,35696,1,2,3597,13492,2,16820,46582,10514,2,10514,13492,35696,2,16820,3597,16820,13492,35696,2,3597,46582,8,13492,35696,1,2,3597,10514,0
156,32712,1,1,13963,49712,1,45277,11499,23869,1,23869,49712,32712,1,45277,13963,45277,49712,32712,1,13963,11499,6,49712,32712,1,1,13963,23869,0
157,27172,2,2,46315,29010,2,18432,19919,2857,2,2857,29010,27172,2,18432,46315,18432,29010,27172,2,46315,19919,6,29010,27172,2,2,46315,2857,0
158,3834,2,2,45069,25592,2,8843,27501,24646,1,24646,25592,3834,1,8843,45069,8843,25592,3834,1,45069,27501,5,25592,3834,2,2,45069,24646,0
159,9566,2,2,47900,4527,2,15334,2145,48271,1,48271,4527,9566,1,15334,47900,15334,4527,9566,1,47900,2145,7,4527,9566,2,2,47900,48271,0
160,10610,2,2,15691,37383,2,40972,44877,27374,2,27374,37383,10610,2,40972,15691,40972,37383,10610,2,15691,44877,6,37383,10610,2,2,15691,27374,0
161,40043,2,2,36069,18222,2,37251,12001,19824,2,19824,18222,40043,2,37251,36069,37251,18222,40043,2,36069,12001,7,18222,40043,2,2,36069,19824,0
162,38223,1,2,36425,19359,2,27620,10036,46721,2,46721,19359,38223,2,27620,36425,27620,19359,38223,2,36425,10036,4,19359,38223,1,2,36425,46721,0
163,13306,2,1,31139,44492,1,45612,35284,39991,2,39991,44492,13306,2,45612,31139,45612,44492,13306,2,31139,35284,10,44492,13306,2,1,31139,39991,0
164,37389,2,2,45748,15815,2,47103,19240,17049,1,17049,15815,37389,1,47103,45748,47103,15815,37389,1,45748,19240,3,15815,37389,2,2,45748,17049,0
165,34111,2,1,7328,2911,1,25167,46715,49876,2,49876,2911,34111,2,25167,7328,25167,2911,34111,2,7328,46715,7,2911,34111,2,1,7328,49876,0
166,38175,2,1,11741,48075,1,30829,28677,47617,2,47617,48075,38175,2,30829,11741,30829,48075,38175,2,11741,28677,6,48075,38175,2,1,11741,47617,0
